n5,title,dept_name
4237,Senior Staff,Customer Service
1403,Staff,Customer Service
682,Senior Engineer,Customer Service
254,Engineer,Customer Service
99,Technique Leader,Customer Service
25,Assistant Engineer,Customer Service
1,Manager,Customer Service
15041,Senior Engineer,Development
5408,Engineer,Development
2209,Technique Leader,Development
609,Assistant Engineer,Development
396,Senior Staff,Development
116,Staff,Development
3649,Senior Staff,Finance
1129,Staff,Finance
1,Manager,Finance
3781,Senior Staff,Human Resources
1180,Staff,Human Resources
1,Manager,Human Resources
4374,Senior Staff,Marketing
1421,Staff,Marketing
12865,Senior Engineer,Production
4670,Engineer,Production
1851,Technique Leader,Production
533,Assistant Engineer,Production
425,Senior Staff,Production
135,Staff,Production
3591,Senior Engineer,Quality Management
1301,Engineer,Quality Management
494,Technique Leader,Quality Management
144,Assistant Engineer,Quality Management
1,Manager,Quality Management
3357,Senior Staff,Research
1040,Staff,Research
877,Senior Engineer,Research
341,Engineer,Research
125,Technique Leader,Research
24,Assistant Engineer,Research
11109,Senior Staff,Sales
3448,Staff,Sales
